Line Tag,Cluster Sequence
"<f103r.9,+P0>","[None, 3, None, None, None, 8, None, None, 0, None, None, 3, None, None]"
"<f103r.10,+P0>","[8, 3, 6, None, None, 9, None, None, 0, None, None, None, 8, 3, 3]"
"<f103r.11,+P0>","[3, None, 0, None, 8, None, None, None, 0, None, 9, None]"
"<f103r.12,+P0>","[6, None, None, None, None, None, None, 8, None]"
"<f103r.13,+P0>","[None, None, None, None, None, None, None, None, None, None, 3]"
"<f103r.14,+P0>","[8, None, None, None, None, None, 8, 8, 8, None, None, None, None]"
"<f103r.15,+P0>","[None, None, None, None, None]"
"<f103r.16,+P0>","[None, None, None, None, 5, None, None, None, None, None, None]"
"<f103r.17,+P0>","[3, None, None, None, None, None, 0, 3, 8]"
"<f103r.18,+P0>","[None, None, 8, None, None, 8, None, None, None]"
"<f103r.19,+P0>","[8, None, None, None, None, None, None, None, 5, 0, 8, 8]"
"<f103r.20,+P0>","[None, None, None, None, None, None, 6]"
"<f103r.21,+P0>","[None, None, 5, 0, None, None, None, None, None, 9, None, 8]"
"<f103r.22,+P0>","[None, 8, None, None, None, None, None, None, None, 3, 0, None]"
"<f103r.23,+P0>","[8, None, None, None, None]"
"<f103r.24,+P0>","[None, None, None, None, 0, None, None, None, None, 8, None, 8]"
"<f103r.25,+P0>","[3, None, None, None, None, None, None, None, 8, None, 6]"
"<f103r.26,+P0>","[None, None, None, None, None, None, 3, 0]"
"<f103r.27,+P0>","[None, None, None, None, 8, None, None, 3, None, None, None, None, None]"
"<f103r.28,+P0>","[None, None, 5, 8, None, None, 0, 3, 6, None, None]"
"<f103r.29,+P0>","[None, None, None, None, None, None]"
"<f103r.30,+P0>","[None, None, None, 8, None, None, None, None, None]"
"<f103r.31,+P0>","[8, None, 8, None, 8, None, None, None, None, 8, None]"
"<f103r.32,+P0>","[None, None, None, None, None, None, None, 8]"
"<f103r.33,+P0>","[None, None, None, None, None, None, 8, None, None, None, None]"
"<f103r.34,+P0>","[None, 8, None, None]"
"<f103r.35,+P0>","[None, None, 6, None, 5, None, None, None, None, None]"
"<f103r.36,+P0>","[8, None, None, None, None, None, None, None]"
"<f103r.37,+P0>","[None, None, None, None, None, None, None, None, None]"
"<f103r.38,+P0>","[None, None, None, None, 3, None, None, 5, None, None]"
"<f103r.39,+P0>","[None, None, None, None, None, None]"
"<f103r.40,+P0>","[None, None, None, None, None, 6, 8, None, None, None, 0]"
"<f103r.41,+P0>","[None, None, None, None, None, None, None, None, None, 3]"
"<f103r.42,+P0>","[None, None, None, None]"
"<f103r.43,+P0>","[3, None, 6, None, None, None, None, None, None, None, None]"
"<f103r.44,+P0>","[None, None, None, None, None]"
"<f103r.45,+P0>","[None, None, None, None, None, None, None, None, 3]"
"<f103r.46,+P0>","[None, None, None, None, None, None, None, 6, 3, None]"
"<f103r.47,+P0>","[None, None, 3, None, None, None, 6]"
"<f103r.48,+P0>","[5, None, None, None, None, None, None, None, 5]"
"<f103r.49,+P0>","[None, 8, 3, 3, None, None, None, None, None, None, None, 3, 8]"
"<f103r.50,+P0>","[None, 3, None, None, None, None, None, None, None, None, None]"
"<f103r.51,+P0>","[8, None, None, None]"
"<f103r.52,+P0>","[None, None, None, None, None, None, None, 8, 0]"
"<f103r.53,+P0>","[None, None, None, None, None, None, None, None, None, 3]"
"<f103r.54,+P0>","[None, None, None, None, None]"
<f103v>,[]
"<f103v.1,@P0>","[5, None, None, 8, None, None, 8, None, None, None, 3]"
"<f103v.2,+P0>","[8, None, None, None, None, None, None, None, None, None, None]"
"<f103v.3,+P0>","[None, 8, None, None, 3, None, None, None, None, None, None, None]"
"<f103v.4,+P0>","[None, None, None, None, 6, None, None]"
"<f103v.5,+P0>","[None, None, None, None, None, None, None, None, None, 6]"
"<f103v.6,+P0>","[8, None, None, None, None, None, None, None, None, None, None]"
"<f103v.7,+P0>","[8, None, None, None, None, None, 8, None, None, None, 6, None]"
"<f103v.8,+P0>","[5, None, None, 5, None, None]"
"<f103v.9,+P0>","[None, None, None, 8, None, None, None, None, 6, 5]"
"<f103v.10,+P0>","[8, None, None, None, 3, None, None, 8, 8, None, None, 6]"
"<f103v.11,+P0>","[None, None, None, None]"
"<f103v.12,+P0>","[5, None, None, None, None, 8, None, None, None, 3, None, 6]"
"<f103v.13,+P0>","[8, None, None, None, None, None, None, 8, 3, 9, None]"
"<f103v.14,+P0>","[None, None, None, None, None, None, None, None, None, 0, 8, 0]"
"<f103v.15,+P0>","[None, None, None, None, None, 3, None, None, None, 0, 0, 0]"
"<f103v.16,+P0>","[8, None, None, None, None, 0, None]"
"<f103v.17,+P0>","[None, None, None, None, None, None, None, 6, None, 0, None]"
"<f103v.18,+P0>","[None, 3, None, None, None, None, 6, None, None, 3]"
"<f103v.19,+P0>","[8, None, None, None, None, 3, None, 8]"
"<f103v.20,+P0>","[3, None, 0, 8, None, None, 8, None, None, None, 3]"
"<f103v.21,+P0>","[5, None, None, None, None, None, 3, None, 0, 6]"
"<f103v.22,+P0>","[None, None, None, None, 6, None, None, None, None]"
"<f103v.23,+P0>","[None, 3, 3, None, 8, 5, None, 0, None, 3, 3, None, None]"
"<f103v.24,+P0>","[None, None, None, 8, 8, 6, 0, 0, 0, 3, 8, 5]"
"<f103v.25,+P0>","[5, None, None, None, None, 0, 0, 6, 5, None]"
"<f103v.26,+P0>","[None, None, None, None, None, None]"
"<f103v.27,+P0>","[None, 5, None, None, None, None, 3, None, None, 0, 2]"
"<f103v.28,+P0>","[8, None, None, None, None, 8, None, None, 5]"
"<f103v.29,+P0>","[None, None, None, None, None, 5, 3, None]"
"<f103v.30,+P0>","[None, 8, None, None, None, None, 3, None, None, 5]"
"<f103v.31,+P0>","[None, 3, None, None, None, None, None, 8, None, 3, 6]"
"<f103v.32,+P0>","[None, None, None, None, None, None, 6]"
"<f103v.33,+P0>","[None, None, None, None, 8, None, None, None, None, 6]"
"<f103v.34,+P0>","[8, None, 6, None, None, None, None, None, None, None]"
"<f103v.35,+P0>","[None, None, None, None, None, None, None, 0, None, 0]"
"<f103v.36,+P0>","[8, None, None, None, None]"
"<f103v.37,+P0>","[None, None, 6, None, None, None, None, None, None, 3]"
"<f103v.38,+P0>","[None, 3, None, 6, None, None, None]"
"<f103v.39,+P0>","[None, None, None, None, None, None, None, 8, 0, None]"
"<f103v.40,+P0>","[None, None, None, None, 6, None, None, None, None, 5]"
"<f103v.41,+P0>","[8, None, 3, None, None, None, None, 3, 0, None, None, None, 5]"
"<f103v.42,+P0>","[None, None, None, 5, 3, None]"
"<f103v.43,+P0>","[5, None, None, None, None, None, None, None]"
"<f103v.44,+P0>","[None, None, 3, 3, 8, 8, 3, None, None, None, None, 3]"
"<f103v.45,+P0>","[None, 6, None, None, 3, None, None, 0, 6]"
"<f103v.46,+P0>","[3, None, None, None, 3, None, 3, 8, None]"
<f104r>,[]
"<f104r.1,@P0>","[None, None, None, None, None, None, None, None, None, 5]"
"<f104r.2,+P0>","[6, 8, None, None, None, 8, 8, None, 5, 3, 8, None, None]"
"<f104r.3,+P0>","[5, 8, None, None, 2, None, 0, None, None, None, 8, 9, 5]"
"<f104r.4,+P0>","[6, None, None, None, None, None, None]"
"<f104r.5,+P0>","[None, None, None, 6, None, 6, None, 3, 8, None, None, None]"
"<f104r.6,+P0>","[None, 8, 5, None, 8, None, None, None, None, 0, None]"
"<f104r.7,+P0>","[None, None, 6, None, None, None, None, None, 8, 3, 8]"
"<f104r.8,+P0>","[None, None, None, None, None, None, 6, None, 8, 0, 6]"
"<f104r.9,+P0>","[None, None, None, None]"
"<f104r.10,+P0>","[8, None, None, 0, 3, 3, 3, None, None, None, None, 0]"
"<f104r.11,+P0>","[None, None, None, 0, None, None, 8, None]"
"<f104r.12,+P0>","[None, None, None, None, 8, 3, 3, None, None, None, None]"
"<f104r.13,+P0>","[6, None, None, None, None, 3, 8, None, None, None, None]"
"<f104r.14,+P0>","[8, None, None, None, None, 8, 8, None, 0, 6, None]"
"<f104r.15,+P0>","[3, None, None, 8, None, 9, 8, None, 8]"
"<f104r.16,+P0>","[None, None, None, None, None, None, None, None, None, None, None]"
"<f104r.17,+P0>","[None, None, None, None, None, None, None, None, 8, 8]"
"<f104r.18,+P0>","[None, None, None, 8, None, None]"
"<f104r.19,+P0>","[3, None, 0, None, None, None, None, 9, 6, 0, 5, None]"
"<f104r.20,+P0>","[None, None, None, None, None, 5, None, None, 3, 3, 3, 5]"
"<f104r.21,+P0>","[None, None, None, None, None]"
"<f104r.22,+P0>","[None, None, 3, None, None, None, None, None, None, None, 3, 8]"
"<f104r.23,+P0>","[6, None, None, None, None, 3, None, None, 5, None, 9, 3]"
"<f104r.24,+P0>","[8, None, None, None, None, 6, None, 8, None, None, None]"
"<f104r.25,+P0>","[3, 9, None, None, None, None, 3, 8, 0, 3, 5]"
"<f104r.26,+P0>","[None, None, 9, None]"
"<f104r.27,+P0>","[None, None, None, 3, 3, None, None, 8, 3, None, None]"
"<f104r.28,+P0>","[None, None, 8, 5, None, None, 8, None, None, 8, 8, 8, 8, 5]"
"<f104r.29,+P0>","[None, None, None, None, 8, 3, None, 5]"
"<f104r.30,+P0>","[None, 8, None, None, None, None, None, None, None]"
"<f104r.31,+P0>","[None, 8, None, 8, 6, None, None, None, None, None, None, None]"
"<f104r.32,+P0>","[None, None, None, None, None, 3, None, 8, None, None, None]"
"<f104r.33,+P0>","[None, None, None, None, None, None, None, 8, None, 8]"
"<f104r.34,+P0>","[None, None, None, None, None, None, 0, None, None, 3, None]"
"<f104r.35,+P0>","[None, None, None, None, None, None, None, 6]"
"<f104r.36,+P0>","[None, None, None, None, None, None, 8, 8, None, 6]"
"<f104r.37,+P0>","[8, None, None, 8, 8, 8, None, None, 9, None]"
"<f104r.38,+P0>","[9, None, None, None, None]"
"<f104r.39,+P0>","[None, 3, 8, None, None, None, None, 8, None, None, 5]"
"<f104r.40,+P0>","[None, 6, 6, None, 6, 3, None, None, None, None]"
"<f104r.41,+P0>","[None, None, 5, None, None, 8, None, None, None, 3]"
"<f104r.42,+P0>","[8, None, None]"
"<f104r.43,+P0>","[None, None, None, None, None, None, None, None, None, 3, 3]"
"<f104r.44,+P0>","[None, None, None, None, 3, None, 6, None, 0, 9]"
"<f104r.45,+P0>","[8, None, 3, 8, 8, 0, 3, None, None, 0, 0]"
<f104v>,[]
"<f104v.1,@P0>","[None, None, 8, 3, None, None, 6, None, 5, 3, None, None, 3]"
"<f104v.2,+P0>","[None, None, None, 0, 3, None, 0, 3, 3, None, 0, 5]"
"<f104v.3,+P0>","[None, None, None, 6, None, None, None, None, None, None, 6, 3]"
"<f104v.4,+P0>","[None, None, None, None, None, None, None, None, None, None, None]"
"<f104v.5,+P0>","[None, None, None, 8, 3, None]"
"<f104v.6,+P0>","[None, None, None, None, None, 3, None, None, None, None, None, None, None]"
"<f104v.7,+P0>","[8, None, None, None, None, None, 3, 8, None, None, None, 3, None]"
"<f104v.8,+P0>","[None, None, None, 3, 3, None, None, None, 8, None, None, None, 8]"
"<f104v.9,+P0>","[None, None, 0, None, None, None, 6, None, None, None, None, 3]"
"<f104v.10,+P0>","[None, None, None, None, 0, None, None, 8, None, None, None]"
"<f104v.11,+P0>","[None, None, None, None, None, None, None, None, 8]"
"<f104v.12,+P0>","[None, None, None, None, None, None, None, None, 3, None, 3, None, None]"
"<f104v.13,+P0>","[None, None, None, None, None, None, None, 8, None, 8, None]"
"<f104v.14,+P0>","[None, None, None, 8, 8, None, 5]"
"<f104v.15,+P0>","[None, None, None, None, None, None, None, None, None, None, 3]"
"<f104v.16,+P0>","[None, None, None, 3, 8, None, None, None, None, None, None, 5]"
"<f104v.17,+P0>","[None, None, None, 3, None, None, None, None, None, 8, 3, None]"
"<f104v.18,+P0>","[None, None, None, 5, 2, None, None, 5]"
"<f104v.19,+P0>","[None, None, None, None, None, None, None, None, None, None, 6, 8, None]"
"<f104v.20,+P0>","[8, None, None, None, None, None, None, None, None, None, None, 0]"
"<f104v.21,+P0>","[None, None, None, None, None, None]"
"<f104v.22,+P0>","[None, None, None, None, None, 3, None, None, 2, None, 3]"
"<f104v.23,+P0>","[None, None, None, None, None, None, None, 5, 0, None, 8, None]"
"<f104v.24,+P0>","[2, None, None, 8, 5, None, 3, 8, None, None, 0, None, 3]"
"<f104v.25,+P0>","[None, None, None, None, None, 8, None, 8, 3, 6, 8, None]"
"<f104v.26,+P0>","[None, None, None, None, None]"
"<f104v.27,+P0>","[None, None, None, None, None, None, None, None, 8, 8, None, 8, 3]"
"<f104v.28,+P0>","[None, 3, 3, None, None, None, 8, None, None, None]"
"<f104v.29,+P0>","[None, None, None, None, 8, 8, None, None, 3, None, 3, None, None]"
"<f104v.30,+P0>","[None, 8, None, 8, None, None, 0, None, None, 5, 3, 3, 3]"
"<f104v.31,+P0>","[8, None, None, None, None, 8, None, None, None, None]"
"<f104v.32,+P0>","[None, None, 8, 3, None, 5, 3, None, 3, None, None, None, 3, 3, 8]"
"<f104v.33,+P0>","[None, None, None, 8, None, None, 8, 6, 3, 6, None, 3, 3, 3, 3]"
"<f104v.34,+P0>","[None, None, None, 8, None, 8, None, None]"
"<f104v.35,+P0>","[None, None, None, None, None, None, None, None, 3, 8]"
"<f104v.36,+P0>","[3, 5, None, None, None, None]"
"<f104v.37,+P0>","[5, None, None, None, 3, 6, 3, None, None, 3, 3, 5]"
"<f104v.38,+P0>","[None, None, None, None, None, None, 8, 8, None, 3, 8, None, 9]"
"<f104v.39,+P0>","[None, 8, 3, 3, 5, None, None, 5, None, None, 9, 3, None, 3, 8, 3, 5]"
"<f104v.40,+P0>","[None, None, None, 8, 6, None, None]"
"<f104v.41,+P0>","[None, None, None, None, 8, None, None, None, None]"
"<f104v.42,+P0>","[None, None, None, None, None, None, None, 3, None, None, None]"
"<f104v.43,+P0>","[None, None, None, None, None, None, None, None, 8, 5]"
"<f104v.44,+P0>","[8, 8, None, None, None, None, None, None]"
<f105r>,[]
"<f105r.1,@P0>","[5, None, None, None, None, 3, 8, None, 8, 5]"
"<f105r.2,+P0>","[None, None, None, 8, None, None, None, 8, None, None, 6, None, None]"
"<f105r.3,+P0>","[None, None, None, None, None, 3, None, None, None, None, None, 8]"
"<f105r.4,+P0>","[2, None, 6, 8, 3, None, None, None, None, 8, None, None]"
"<f105r.5,+P0>","[8, None, None, 2, None, 8, None, None, None]"
"<f105r.6,+P0>","[3, 5, None, None, None, None, 8, None, None, None]"
"<f105r.7,+P0>","[None, None, 8, 5, None, None, None, None, 8, 5]"
"<f105r.8,+P0>","[None, None, 8, 3, None, None, None, None, None, None, None]"
"<f105r.9,+P0>","[None, None, None, None]"
"<f105r.10,+Pr>","[5, None, 5, 2]"
"<f105r.11,*P0>","[None, None, 8, None, None, 3, None, 3]"
"<f105r.12,+P0>","[8, None, None, None, None, None, None, None, None, None, 8]"
"<f105r.13,+P0>","[None, None, None, None, 3, None, None, None, None, 0]"
"<f105r.14,+P0>","[None, None, None, 3, 3, None, None, None, None, None, None]"
"<f105r.15,+P0>","[None, 6, 8, 8, None, None, 8, None, None, None, 8, 5]"
"<f105r.16,+P0>","[None, None, 8, 6, 8, None, 3]"
"<f105r.17,+P0>","[None, None, None, None, None, 9, 5, None, 8, None, None]"
"<f105r.18,+P0>","[None, None, 8, 3, None, None, None, None, None, None, None, None]"
"<f105r.19,+P0>","[None, None, 5, 8, None, 3, None, None, 6, 5, 3]"
"<f105r.20,+P0>","[8, 8, None, None, 2, 5, 6, 6, 6, 3, 6, 3, None, 8]"
"<f105r.21,+P0>","[None, None, None, None, None, 8, 0, None, None, 8, None]"
"<f105r.22,+P0>","[None, 2, None, 6, None, None, None, 8, 8, 2, 8, 6]"
"<f105r.23,+P0>","[None, None, None, None]"
"<f105r.24,+P0>","[None, 3, None, None, 8, 3, 5, None, None, None, 3, 8, 8]"
"<f105r.25,+P0>","[None, None, None, None, 5, 3]"
"<f105r.26,+P0>","[3, None, None, 3, None, None, None, 8, 5, 8, None, None, None]"
"<f105r.27,+P0>","[5, None, 3, 8, 3, None, None]"
"<f105r.28,+P0>","[None, None, None, None, None, None, 5, 6, 5, 6, None]"
"<f105r.29,+P0>","[8, None, None, None, 8, None, 9, None, None, 6, None, 2]"
"<f105r.30,+P0>","[6, None, 3, 5, 3, 6, 8, None, 5, None, None, None]"
"<f105r.31,+P0>","[None, None, None, 3, 5, None, 9, None, 5, None, None, 8, None]"
"<f105r.32,+P0>","[None, None, 8, None, None, 3, None, 5, 0, 3, 3]"
"<f105r.33,+P0>","[None, None, None, None, 0, 9, 8, 5, None, 3, 5]"
"<f105r.34,+P0>","[8, 5, None, 9, 6, 2, 3, None, 3, 3, 5]"
"<f105r.35,+P0>","[None, 9, None, None, 3, 9, 0, 3, None, 9, None, 3]"
"<f105r.36,+P0>","[None, None, 0, 6, None, None, None, None, 0, None, 0]"
"<f105r.37,+Pc>","[0, None, 0, 0]"
<f105v>,[]
"<f105v.1,@P0>","[3, 6, None, 2, None, None, 5, None, 5]"
"<f105v.2,+P0>","[None, None, None, None, None, 8, None, 0, None, 8, None, 0]"
"<f105v.3,+P0>","[None, None, 2, 9, None, 8, 9, None, None, None, None]"
"<f105v.4,+P0>","[None, None, None, None, 6, 6, None, None]"
"<f105v.5,+P0>","[None, None, 8, None, 8, 9, None, None, None, 5]"
"<f105v.6,+P0>","[None, None, None, 3, 8, 3, 3, 3, 5, None, None, 2, 3]"
"<f105v.7,+P0>","[None, 8, 0, 6, 6, 9, None]"
"<f105v.8,+P0>","[3, None, None, 3, 8, None, None, None, None, None, 3, 6]"
"<f105v.9,+P0>","[None, None, 8, 8, 9, None, None, None, 8, 8, 8, 5, 3, 9]"
"<f105v.10,+P0>","[None, 8, None, 6, 3, 8, 0, 3, 5, None, 8, 6, 3, 3, 3, None]"
"<f105v.11,+P0>","[None, 5, 6, 8, 3, 8, None, None, None, 5, 3, None]"
"<f105v.12,+P0>","[None, 8, None, None, 3, 3, 5, 0, 0, 0, 5, 8]"
"<f105v.13,+P0>","[8, None, None, 0, 3, 5, None, None]"
"<f105v.14,+P0>","[None, None, None, None, 6, 5, 3, 6, 9, None]"
"<f105v.15,+P0>","[None, 9, None, 0, 0, 3, None, None, None, 8, 8, 8]"
"<f105v.16,+P0>","[8, None, 3, None, 9, 8, None, 8, 9, None, 0, 6]"
"<f105v.17,+P0>","[3, 8, None, 8, 8, 3, 3, 3]"
"<f105v.18,+P0>","[None, None, 8, None, None, None, None, 6, 5, 5]"
"<f105v.19,+P0>","[None, 8, None, 5, None, 3, 8, None, 5, None, 5, 8]"
"<f105v.20,+P0>","[3, None, None, 0, None, 8, 3, None, None, 5, 6, 5]"
"<f105v.21,+P0>","[None, 5, None, None, None, 8, None, None, None, 8, 5]"
"<f105v.22,+P0>","[8, None, None, 3, 8, None]"
"<f105v.23,+P0>","[None, 6, 9, None, 5, None, None, None, None, 3]"
"<f105v.24,+P0>","[None, 8, 0, 0, 8, None, 3, None]"
"<f105v.25,+P0>","[None, 5, None, 5, None, None, None, None, None, None, 3]"
"<f105v.26,+P0>","[8, None, 0, 0, 0, 8, 8, None, 8, None, 8, 8]"
"<f105v.27,+P0>","[None, 5, None, None, 3, None, 8, None, 5, 0]"
"<f105v.28,+P0>","[None, 3, 3, 3, 5, 0]"
"<f105v.29,+P0>","[3, 3, 5, None, None, None, None, 8, 6]"
"<f105v.30,+P0>","[None, None, None, 0, 0, 0, None, 3, 8, 8, 8, 8]"
"<f105v.31,+P0>","[None, None, 8, 8, 0, 5, None, 0, 8]"
"<f105v.32,+P0>","[3, None, None, 3, None, None, None, None, 5, 5, 3]"
"<f105v.33,+P0>","[None, 5, None, None, 8, 3, 0, None, None, 8, 5, 3, 3]"
"<f105v.34,+P0>","[None, 8, None, None, 5, 8, 0, None, 6, 8, 8]"
"<f105v.35,+P0>","[None, None, 3, 3, None, None, 8, 6, None, 0, 3, None]"
"<f105v.36,+P0>","[3, None, None, None, 2, 0, None, 3, None, None]"
"<f105v.37,+P0>","[None, None, None, None, 8, None, 9, None, None, 8, 3, 5]"
"<f105v.38,+P0>","[None, 6, 3, None]"
<f106r>,[]
"<f106r.1,@P0>","[None, None, None, None, None, None, None, None, None, None, None]"
"<f106r.2,+P0>","[None, None, None, None, None, None, None, None, None, None, None, 5]"
"<f106r.3,+P0>","[None, None, None, None, 8, None]"
"<f106r.4,+P0>","[None, None, None, 8, 5, None, None, None, None, None]"
"<f106r.5,+P0>","[None, 8, None, 8, None, None, None, None, 3, None, None, None, 3]"
"<f106r.6,+P0>","[None, None, None, 0, 8, None, 8, None, None, 6, None, None, None]"
"<f106r.7,+P0>","[None, None, None, None, None, None, None]"
"<f106r.8,+P0>","[None, 5, 6, 8, None, None, None, None, None, 5, None]"
"<f106r.9,+P0>","[None, None, None, None, None, None, None]"
"<f106r.10,+P0>","[None, None, None, None, None, None, None, None, None]"
"<f106r.11,+P0>","[3, 8, None, 8, None, 8, None, None, None, 8, None, None]"
"<f106r.12,+P0>","[None, None, None, None, 8, None]"
"<f106r.13,+P0>","[None, None, None, None, None, None, None, 8, 8, 5]"
"<f106r.14,+P0>","[None, 9, None, None, 0, 0, None, None]"
"<f106r.15,+P0>","[5, None, None, None, None, None, None, 8, None]"
"<f106r.16,+P0>","[5, 8, 8, 8, 3, None, None, 8, None, 9, 0, None]"
"<f106r.17,+P0>","[None, None, None, None, 8, 8, None]"
"<f106r.18,+P0>","[None, None, None, 0, None, None, None, None, None, None, None]"
"<f106r.19,+P0>","[None, None, None, None, 0, None, 3, None, None, 8]"
"<f106r.20,+P0>","[2, None, None, None, None, 3, None, None, None, None]"
"<f106r.21,+P0>","[None, None, None, None, None, 8]"
"<f106r.22,+P0>","[None, None, 6, None, None, 5, None, 5, None, None]"
"<f106r.23,+P0>","[None, None, 5, 3, None, None, None, None, 3, 5]"
"<f106r.24,+P0>","[None, None, None, None, 3, None, 8, None, 0, None]"
"<f106r.25,+P0>","[8, None, 8, None, None, None, 8, None, None, None, 2, 3]"
"<f106r.26,+P0>","[None, None]"
"<f106r.27,+P0>","[None, None, None, 8, 8, None, 3, None, None, None]"
"<f106r.28,+P0>","[8, 6, None, None, 8, None, None, None, None, 3, 3, None]"
"<f106r.29,+P0>","[8, None, None, 9, 2, 8, None, 3, 8, None, 5]"
"<f106r.30,+P0>","[None, 8, None, 5, None, None, 3, 5, None, 5]"
"<f106r.31,+P0>","[None, None, 8, 3, None, 8]"
"<f106r.32,+P0>","[3, None, None, None, None, None, 3, None, None]"
"<f106r.33,+P0>","[None, None, None, None, None, 3, 5, 5, 9]"
"<f106r.34,+P0>","[None, None, None, 3, None, 6, 8, None, None, None, 3]"
"<f106r.35,+P0>","[8, None, 5, None, None]"
"<f106r.36,+P0>","[None, 3, None, None, None, 8, 9, None, 0, None]"
"<f106r.37,+P0>","[None, None, None]"
"<f106r.38,+P0>","[None, None, None, None, None, None, None, None, 8]"
"<f106r.39,+P0>","[None, None, 6, 8, None, 5, None, None, None, 8, 3]"
"<f106r.40,+P0>","[None, 3, 8, None, 8, None, None, None, None, 8, None]"
"<f106r.41,+P0>","[None, None, None, None, None]"
"<f106r.42,+P0>","[None, None, 5, None, None, None, None, None, 3]"
"<f106r.43,+P0>","[5, None, 8, None, None, 5, None, 3, 3, None, 0]"
"<f106r.44,+P0>","[None, None, 0, None, None, None, 8, 0, 0, 0]"
"<f106r.45,+P0>","[None, 8, 8, 0, 8, None, 6, None, 9]"
"<f106r.46,+P0>","[None, None, None, None, None, 2, None, None, 8]"
"<f106r.47,+P0>","[None, 3, 8, None, None, 8, None]"
<f106v>,[]
"<f106v.1,@P0>","[None, 8, 6, None, None, 0, 9, 5, 8, 3, 9]"
"<f106v.2,+P0>","[8, 3, None, 8, None, None, 0, None, 8, None, None, None, None]"
"<f106v.3,+P0>","[None, None, None, 3, 3, None, 2, None, 3, None, 3, 8]"
"<f106v.4,+P0>","[None, None, 8, None, 8, None, None, None]"
"<f106v.5,+P0>","[None, None, None, None, None, None, 0, None, 8, None, 5, 8]"
"<f106v.6,+P0>","[8, None, None, None, 6, None, None, None, None, 5]"
"<f106v.7,+P0>","[8, None, 8, None, None, 5, None, None, None, 5, 3, 3, 8]"
"<f106v.8,+P0>","[8, None, 8, 8, 0]"
"<f106v.9,+P0>","[None, None, 5, 8, None, None, None, 5, None, 8]"
"<f106v.10,+P0>","[None, None, None, None, 2, None, 6]"
"<f106v.11,+P0>","[None, 3, None, None, None, None, None, None, None, None, 8, None]"
"<f106v.12,+P0>","[None, None, None, 0, None, None, None, None, None, 0, 0]"
"<f106v.13,+P0>","[None, None, 3, None, 3, 2, None, None, 2, None, 3]"
"<f106v.14,+P0>","[None, 8, None, 3, None, None, 5, 5]"
"<f106v.15,+P0>","[None, None, None, None, None, None, None, 5, 8]"
"<f106v.16,+P0>","[5, None, 8, None, None, None, None, None, None, None, None]"
"<f106v.17,+P0>","[5, None, 8, None, None]"
"<f106v.18,+P0>","[None, None, None, None, None, 3, None, None, None, 5]"
"<f106v.19,+P0>","[3, None, 0, 0, None, 8, 3, 6, 0, 5]"
"<f106v.20,+P0>","[None, 5, None, None, None, None, None, None, None]"
"<f106v.21,+P0>","[None, None, None, 3, 9, None, None]"
"<f106v.22,+P0>","[None, None, None, None, None, None, None, None, None]"
"<f106v.23,+P0>","[6, 9, None, None, 9, None, None, None, None, 8, 8, None, None]"
"<f106v.24,+P0>","[3, None, None, None, None, None, 3, 6, None, None]"
"<f106v.25,+P0>","[3, None, None, None, None, 9]"
"<f106v.26,+P0>","[3, 3, None, 9, None, 3, None, None, None, None, 3, 3, None]"
"<f106v.27,+P0>","[None, 6, None, None, None, 6]"
"<f106v.28,+P0>","[None, None, None, None, None, None, None, 0, None, 0]"
"<f106v.29,+P0>","[None, None, None, None, None, 0, 0, None, 6, 8, None]"
"<f106v.30,+P0>","[0, None, None, None, None, None, None, None, None, 9]"
"<f106v.31,+P0>","[None, None, None, None]"
"<f106v.32,+P0>","[3, None, None, None, None, None, 5, 3, None, 2, 5]"
"<f106v.33,+P0>","[None, 8, None, None, 6, 8, None, None]"
"<f106v.34,+P0>","[None, None, 3, 8, None, 0, 3, 6, None, None, 0, 5]"
"<f106v.35,+P0>","[None, None, None, None, None, None, None, None, None, 8, 3]"
"<f106v.36,+P0>","[3, None, None, None]"
"<f106v.37,+P0>","[3, None, 3, None, None, None, None, None, 6, None, 6]"
"<f106v.38,+P0>","[None, 8, None, None, None, None, None, None, 3, 8, 0]"
"<f106v.39,+P0>","[None, None, None]"
"<f106v.40,+P0>","[9, None, 8, None, None, 8, 5, 3, None, None, None, None, 5]"
"<f106v.41,+P0>","[None, None, None, 8, None, 8, 8, None, None, None]"
"<f106v.42,+P0>","[8, None, None, None, None, None, None, 6, None, None, None, None]"
"<f106v.43,+P0>","[None, None, None, None, None, None, 3, 3, 9, None, 3, None]"
"<f106v.44,+P0>","[None, None, 9, None, None, None, 0, None, None, 0, 0]"
"<f106v.45,+P0>","[2, None, None, None, None, None, 0, 5, None, 3, 5]"
"<f106v.46,+P0>","[2, 8, None, None, None, None, 6, 8, 8, None, None]"
"<f106v.47,+P0>","[None, None]"
<f107r>,[]
"<f107r.1,@P0>","[None, None, None, None, 0, None, 5, None, 0, 2]"
"<f107r.2,+P0>","[None, None, 8, None, None, None, 8, None, None, None, None, None, 8]"
"<f107r.3,+P0>","[None, None, None, None, None, 2, None, 8]"
"<f107r.4,+P0>","[None, None, None, None, None, None, 0, 3, None, None, None, None]"
"<f107r.5,+P0>","[None, None, None, None, None, None, None, None, None, 3]"
"<f107r.6,+P0>","[None, None, None, 5, None, None, None, None, 0, 8]"
"<f107r.7,+P0>","[2, None, 8, None, None, None]"
"<f107r.8,+P0>","[None, None, None, None, None, 8, None, None, 3, 9]"
